Pramata_Number,Product_Name,Unit_Price,Activation_Date,Product_Quantity,Total_Price,Product_Expiration_Date
10028,Colocation,100,2015-10-01,16,1600,2015-10-23
10028,Network,101,2013-12-28,71,7171,2014-01-19
10028,cisco router ,102,2013-11-06,91,9282,2013-11-28
10029,Colocation,103,2015-07-09,38,3914,2015-07-31
10029,Network,104,2018-02-12,96,9984,2018-03-06
10029,cisco router ,105,2013-03-16,53,5565,2013-04-07
10030,Colocation,106,2018-01-09,74,7844,2018-01-31
10030,Network,107,2016-11-09,14,1498,2016-12-01
10030,cisco router ,108,2017-09-27,48,5184,2017-10-19
10031,Colocation,109,2013-09-06,45,4905,2013-09-28
10031,Network,110,2017-03-16,20,2200,2017-04-07
10031,cisco router ,111,2017-03-16,14,1554,2017-04-07
10032,Colocation,112,2017-05-24,40,4480,2017-06-15
10032,Network,113,2015-03-29,77,8701,2015-04-20
10032,cisco router ,114,2013-11-03,91,10374,2013-11-25
10033,Colocation,115,2017-10-09,4,460,2017-10-31
10033,Network,116,2016-06-01,40,4640,2016-06-23
10033,cisco router ,117,2013-11-12,89,10413,2013-12-04
10033,Colocation,118,2017-03-26,99,11682,2017-04-17
10034,Network,119,2015-08-14,68,8092,2015-09-05
10034,cisco router ,120,2014-09-27,84,10080,2014-10-19
10034,Colocation,121,2016-04-07,87,10527,2016-04-29
10035,Network,122,2017-04-01,79,9638,2017-04-23
10035,cisco router ,123,2016-09-21,91,11193,2016-10-13
10035,Colocation,124,2016-01-26,29,3596,2016-02-17
10036,Network,125,2013-12-19,66,8250,2014-01-10
10036,cisco router ,126,2016-10-26,37,4662,2016-11-17
10036,Colocation,127,2016-12-31,52,6604,2017-01-22
10037,Network,128,2016-10-28,20,2560,2016-11-19
10037,cisco router ,129,2014-07-16,97,12513,2014-08-07
10037,Colocation,130,2013-12-11,20,2600,2014-01-02
10038,Network,131,2017-12-07,74,9694,2017-12-29
10038,cisco router ,132,2016-10-14,77,10164,2016-11-05
10038,Colocation,133,2016-01-13,90,11970,2016-02-04
10039,Network,134,2015-05-19,7,938,2015-06-10
10039,cisco router ,135,2015-05-09,6,810,2015-05-31
10039,Colocation,136,2014-04-03,63,8568,2014-04-25
10040,Network,137,2014-12-02,63,8631,2014-12-24
10040,cisco router ,138,2013-07-02,93,12834,2013-07-24
10040,Colocation,139,2014-04-21,57,7923,2014-05-13
10041,Network,140,2016-02-22,37,5180,2016-03-15
10041,cisco router ,141,2014-04-29,71,10011,2014-05-21
10041,Colocation,142,2016-02-15,43,6106,2016-03-08
10042,Network,143,2015-12-14,8,1144,2016-01-05
10042,cisco router ,144,2018-02-04,84,12096,2018-02-26
10042,Colocation,145,2018-02-08,59,8555,2018-03-02
10043,Network,146,2014-07-10,68,9928,2014-08-01
10043,cisco router ,147,2016-06-22,93,13671,2016-07-14
